Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-5.021,-70.921,65.9,7,24,2,1.0,0.068
-26.021,-92.131,66.11,7,25,2,-20.0,0.0
-5.021,-70.931,65.91,7,26,2,1.0,0.052000000000000005
-26.021,-91.993,65.972,7,27,2,-20.0,0.0
-7.021,-72.969,65.948,7,28,2,-1.0,0.13
-26.021,-92.445,66.42399999999999,7,29,2,-20.0,0.0
-6.021,-71.98899999999999,65.96799999999999,7,30,2,0.0,0.0
-27.021,-92.973,65.952,7,31,2,-21.0,0.0
-6.021,-72.00399999999999,65.98299999999999,7,32,2,0.0,0.0
-26.021,-93.204,67.18299999999999,7,1,3,-20.0,0.0
